area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee,1056.0,2.0,1.0,39.07,2,3699.81
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600.0,5.0,3.0,120.0,4,4615.38
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440.0,2.0,3.0,62.0,3,4305.56
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521.0,3.0,1.0,95.0,3,6245.89
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200.0,2.0,1.0,51.0,2,4250.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170.0,2.0,1.0,38.0,2,3247.86
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades,2732.0,4.0,2.0,204.0,4,7467.06
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300.0,4.0,2.0,600.0,4,18181.82
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310.0,3.0,1.0,63.25,3,4828.24
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020.0,6.0,2.0,370.0,6,36274.51
Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800.0,2.0,2.0,70.0,3,3888.89
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785.0,5.0,3.0,295.0,4,10592.46
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000.0,2.0,1.0,38.0,2,3800.0
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100.0,2.0,2.0,40.0,2,3636.36
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250.0,3.0,2.0,148.0,3,6577.78
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175.0,2.0,2.0,73.5,2,6255.32
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180.0,3.0,2.0,48.0,3,4067.8
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540.0,3.0,3.0,60.0,3,3896.1
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770.0,4.0,2.0,290.0,3,10469.31
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100.0,2.0,2.0,48.0,2,4363.64
Built-up  Area,Ready To Move,Kengeri,1 BHK,,600.0,1.0,1.0,15.0,1,2500.0
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755.0,3.0,1.0,122.0,3,6951.57
Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767.0,3.0,1.0,103.0,3,5829.09
Super built-up  Area,18-Nov,Thanisandra,1 RK,Bhe 2ko,510.0,1.0,0.0,25.25,1,4950.98
Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250.0,3.0,2.0,56.0,3,4480.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa,660.0,1.0,1.0,23.1,2,3500.0
Built-up  Area,20-Dec,Whitefield,3 BHK,,1610.0,3.0,2.0,81.0,3,5031.06
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151.0,2.0,2.0,48.77,2,4237.19
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo,1025.0,2.0,1.0,47.0,3,4585.37
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2475.0,4.0,0.0,186.0,4,7515.15
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,35.0,3,3255.81
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760.0,2.0,2.0,123.0,3,6988.64
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693.0,3.0,3.0,57.39,3,3389.84
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925.0,3.0,2.0,125.0,3,6493.51
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700.0,2.0,1.0,36.0,2,5142.86
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070.0,2.0,1.0,45.5,2,4252.34
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724.0,3.0,2.0,125.0,3,7250.58
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290.0,2.0,2.0,56.12,3,4350.39
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143.0,2.0,2.0,45.0,2,3937.01
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296.0,2.0,2.0,81.0,2,6250.0
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254.0,3.0,2.0,38.0,3,3030.3
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600.0,1.0,0.0,38.0,1,6333.33
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660.0,1.0,0.0,48.0,1,7272.73
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak,1330.74,2.0,2.0,91.79,2,6897.67
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970.0,2.0,0.0,33.0,2,3402.06
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459.0,2.0,1.0,94.82,2,6498.97
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869.0,2.0,1.0,36.0,2,4142.69
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670.0,3.0,1.0,99.0,3,5928.14
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010.0,3.0,2.0,91.0,3,4527.36
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185.0,2.0,2.0,75.0,2,6329.11
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600.0,2.0,3.0,75.0,3,4687.5
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh,1200.0,2.0,2.0,44.0,2,3666.67
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3210.0,2.0,2.0,192.0,4,5981.31
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500.0,2.0,2.0,185.0,2,12333.33
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407.0,4.0,1.0,150.0,6,10660.98
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840.0,2.0,2.0,45.0,2,5357.14
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845.0,2.0,1.0,55.0,2,6508.88
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700.0,5.0,3.0,650.0,4,11403.51
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160.0,2.0,2.0,44.0,2,3793.1
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,3000.0,8.0,0.0,140.0,8,4666.67
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100.0,2.0,1.0,62.0,2,5636.36
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140.0,2.0,3.0,43.0,2,3771.93
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220.0,2.0,1.0,57.0,2,4672.13
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,,1350.0,7.0,0.0,85.0,8,6296.3
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1005.0,2.0,1.0,36.68,2,3649.75
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg,1358.0,2.0,1.0,80.58,2,5933.73
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569.0,3.0,1.0,101.0,3,6437.22
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240.0,2.0,1.0,70.0,2,5645.16
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089.0,3.0,2.0,140.0,3,6701.77
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1206.0,2.0,1.0,48.23,2,3999.17
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150.0,2.0,3.0,40.0,2,3478.26
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511.0,3.0,3.0,205.0,3,8164.08
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,460.0,1.0,0.0,22.0,2,4782.61
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,,4400.0,6.0,3.0,250.0,6,5681.82
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,3203.5,2.0,2.0,224.5,4,7007.96
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326.0,2.0,2.0,78.0,2,5882.35
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1325.0,2.0,2.0,60.8,3,4588.68
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499.0,5.0,2.0,102.0,3,6804.54
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,,3000.0,7.0,2.0,210.0,6,7000.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1665.0,3.0,2.0,88.0,3,5285.29
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708.0,2.0,2.0,37.0,2,5225.99
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060.0,2.0,2.0,58.06,2,5477.36
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,,710.0,6.0,3.0,160.0,6,22535.21
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti,1000.0,2.0,2.0,70.0,2,7000.0
Super built-up  Area,18-Dec,Electronic City,2 BHK,,1000.0,2.0,1.0,28.88,2,2888.0
Super built-up  Area,Ready To Move,Mysore Highway,3 BHK,,1450.0,2.0,2.0,70.0,3,4827.59
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,,1200.0,4.0,2.0,155.0,4,12916.67
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy,1296.0,2.0,3.0,80.0,2,6172.84
Super built-up  Area,Ready To Move,Domlur,3 BHK,,1540.0,3.0,2.0,90.0,3,5844.16
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894.0,4.0,1.0,245.0,4,8465.79
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,1330.0,2.0,1.0,48.0,3,3609.02
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,,1200.0,2.0,1.0,65.0,2,5416.67
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,,1200.0,3.0,1.0,90.0,3,7500.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502.0,3.0,3.0,138.0,3,5515.59
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650.0,1.0,1.0,17.0,2,2615.38
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400.0,2.0,1.0,150.0,3,6250.0
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007.0,2.0,2.0,43.0,2,4270.11
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200.0,2.0,2.0,50.0,2,4166.67
Super built-up  Area,Ready To Move,Peenya,2 BHK,,966.0,2.0,2.0,49.9,2,5165.63
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1630.0,2.0,1.0,98.0,3,6012.27
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640.0,3.0,2.0,229.0,3,13963.41
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,,782.0,2.0,2.0,55.68,2,7120.2
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260.0,2.0,2.0,66.78,2,5300.0
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,,1800.0,3.0,3.0,120.0,3,6666.67
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413.0,2.0,2.0,75.0,3,5307.86
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116.0,2.0,1.0,51.91,2,4651.43
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax,1530.0,2.0,1.0,45.9,3,3000.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,3700.0,4.0,1.0,225.0,4,6081.08
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497.0,3.0,2.0,140.0,3,5606.73
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540.0,2.0,3.0,64.0,3,4155.84
Super built-up  Area,18-Dec,Thanisandra,3 BHK,,1436.0,3.0,1.0,74.75,3,5205.43
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,,1100.0,2.0,2.0,75.0,2,6818.18
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,,276.0,3.0,3.0,23.0,2,8333.33
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427.0,3.0,2.0,120.0,3,8409.25
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061.0,3.0,1.0,200.0,3,9704.03
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,5611.5,4.0,0.0,477.0,4,8500.4
Built-up  Area,Ready To Move,Shampura,4 BHK,,2650.0,4.0,2.0,150.0,4,5660.38
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282.0,2.0,2.0,68.52,3,5344.77
Built-up  Area,Ready To Move,Kadugodi,2 BHK,,1050.0,2.0,1.0,34.0,2,3238.1
